target,window_start,as_of,horizon_days,var_95_pct,var_95_posterior_q05_pct,var_95_posterior_q95_pct,historical_var_95_pct,expected_shortfall_95_pct,es_95_posterior_q05_pct,es_95_posterior_q95_pct,historical_es_95_pct,predictive_return_median_pct,realized_forward_return_pct
VOO,2015-01-05,2016-01-08,20,7.526597380638123,5.024635553359985,9.669151738286017,5.8740784010803715,9.820522166167695,6.735571742057801,11.85223937034607,7.292822475448994,-0.4146784543991089,-3.4267527681187904
GLD,2015-01-05,2016-01-08,20,7.847975194454193,5.411705449223518,9.434787660837173,7.516825430225402,9.612799959722906,7.247687011957169,11.14557585120201,8.181628120291617,-1.1635124683380127,7.711962057479083
TLT,2015-01-05,2016-01-08,20,7.149211764335632,4.690543293952942,9.005331948399544,6.596496659489281,9.13859789725393,6.569238483905793,11.248066276311873,7.855064198017965,0.3620564937591553,6.792664259657721
EW,2015-01-05,2016-01-08,20,4.006745219230652,2.6947346329689026,4.893043994903564,3.1243107263738623,5.014546068074802,3.59050902724266,5.8248867094516745,3.495012899759505,-0.3352731466293335,3.678973650990125
VOO,2015-02-04,2016-02-09,20,7.700316607952118,5.256208151578903,9.88304680585861,7.1556431842095325,10.182818688917905,7.215687543153764,12.514440119266506,8.382811493615815,-0.26895105838775635,7.600428397489534
GLD,2015-02-04,2016-02-09,20,7.377571761608123,5.2934596091508865,8.666123956441877,7.4367291087657055,9.130529007719208,6.7679584324359885,10.6705153286457,8.145377853640555,-0.9175539016723633,5.282620094446511
TLT,2015-02-04,2016-02-09,20,7.0572441816329965,4.527820572257042,8.800692796707152,6.152068006596054,8.921984501648694,6.0148263573646545,10.705696254968641,7.605476183185783,0.4214823246002197,-1.6675176296192307
EW,2015-02-04,2016-02-09,20,3.890654444694519,2.6679946929216385,4.830195054411888,3.073557442772381,4.935996859179189,3.4664291441440587,5.858791053295134,3.4738199282752866,-0.2210676670074463,3.779882533219725
VOO,2015-03-06,2016-03-10,20,7.59900838136673,5.269957661628723,9.400849878787994,7.1556431842095325,10.115149155414354,7.070866972208023,12.14829924702644,8.382811493615815,0.10672211647033691,3.0416703561689573
GLD,2015-03-06,2016-03-10,20,7.765325903892517,5.30463682115078,9.685840725898743,7.352742039607005,9.713277655343216,6.954382240772247,11.33199685811996,8.084122624001123,-0.6194084882736206,-2.526748720019878
