ticker,name,sector,membership_snapshot,as_of,window_start,predictive_gain_probability,gain_probability_posterior_q05,gain_probability_posterior_q95,predictive_median_net_return_pct,predictive_es95_pct,gain_to_es_posterior_q05,gain_to_es_posterior_q95,es95_posterior_q05_pct,es95_posterior_q95_pct,coverage_ok,coverage_reason,sigma_boundary_mass,horizon_days,round_trip_cost_pct,n_parameter_draws,n_replications,mu_q05,mu_median,mu_q95,sigma_bar_q05,sigma_bar_median,sigma_bar_q95,q_q05,q_median,q_q95,nu_q05,nu_median,nu_q95,gain_to_es,rank
EVRG,Evergy,Utilities,2026-09-06,2026-09-04,2025-08-29,0.629669189453125,0.49482421875,0.7654296874999998,1.5969733248680562,8.14653315928976,5.361569802886844,12.05154299807604,6.00040927411741,9.576245039608322,True,,0.0,20,0.2,64,512,-0.00018507878339732998,0.0008605982584413141,0.001769842393696308,0.009589583706110716,0.010553028434515,0.011653280165046452,0.5240225970745087,0.5590369403362274,0.6117973178625107,6.184781646728515,9.72196340560913,11.87037558555603,7.729290204080155,1
JNJ,Johnson & Johnson,Health Care,2026-09-06,2026-09-04,2025-08-29,0.688873291015625,0.55361328125,0.80712890625,2.743665517107685,9.075979250334248,4.89368754863943,13.901160967376939,5.764872177664054,11.22181162901997,True,,0.0,20,0.2,64,512,0.00046201244549592957,0.0015087303472682834,0.0025716662523336707,0.011184261506423354,0.01237953593954444,0.01378116593696177,0.5655277997255326,0.628979504108429,0.689699912071228,5.147964072227478,8.876556396484375,11.682738161087036,7.59007124206741,2
BNY,BNY Mellon,Financials,2026-09-06,2026-09-04,2025-08-29,0.69061279296875,0.55478515625,0.81689453125,3.171602234688964,9.659694849852801,4.837804743998137,11.185017207894543,7.0927368891066305,11.962581260855936,True,,0.0,20,0.2,64,512,0.0005668308789609,0.001669890247285366,0.00283290819497779,0.012726620025932788,0.013882716186344624,0.015648630261421204,0.5368905603885651,0.5876090228557587,0.6427875012159348,4.938924551010132,9.044914245605469,11.697205924987793,7.149426598908286,3
FE,FirstEnergy,Utilities,2026-09-06,2026-09-04,2025-08-29,0.594573974609375,0.4314453125,0.7423828124999999,1.1273649609036986,8.372133792159715,4.292274094238823,11.415739687465512,6.406867548129972,10.524214294814579,True,,0.0,20,0.2,64,512,-0.00020322465570643544,0.0007647604506928474,0.001661614462500438,0.009468593262135982,0.010413588024675846,0.011722232401371002,0.5325359404087067,0.5801021158695221,0.6415146678686142,4.805196332931518,8.341234683990479,11.687917280197142,7.101821224670084,4
STT,State Street Corporation,Financials,2026-09-06,2026-09-04,2025-08-29,0.722015380859375,0.5669921875,0.8315429687499998,4.33311228922848,10.62482966607986,4.086147520598176,11.145468599695825,7.188167070146716,13.105322285811322,True,,0.0,20,0.2,64,512,0.0008916917839087547,0.002201332477852702,0.003589692327659577,0.014637210639193654,0.016113946214318275,0.01811247579753399,0.5241532236337662,0.5533035099506378,0.6100360453128815,4.480304622650147,7.910149574279785,11.505524492263794,6.795547821010574,5
CNP,CenterPoint Energy,Utilities,2026-09-06,2026-09-04,2025-08-29,0.595001220703125,0.4375,0.7228515624999999,1.2342586185860485,9.103440327969423,4.268381977601133,10.517969086599145,6.434170599302346,10.916167543046955,True,,0.0,20,0.2,64,512,-0.0002128344807715621,0.0007549144502263516,0.0017000144987832754,0.010071399481967091,0.0111410953104496,0.012235963344573974,0.525794294476509,0.5652844309806824,0.6230943739414215,5.598517799377442,9.388195514678955,11.778331851959228,6.536003964073257,6
L,Loews Corporation,Financials,2026-09-06,2026-09-04,2025-08-29,0.5733642578125,0.419140625,0.68916015625,0.8731417958365519,8.898890414656725,4.02892164549125,10.19982128513099,6.737728719389555,10.573957583689417,True,,0.0,20,0.2,64,512,-0.0003343139687785879,0.000595855584833771,0.0015337367774918675,0.00943324463441968,0.01055963896214962,0.012337786797434091,0.5231615424156189,0.5542033612728119,0.6136068791151047,3.486105799674988,6.5873918533325195,10.911790943145752,6.443098308842559,7
O,Realty Income,Real Estate,2026-09-06,2026-09-04,2025-08-29,0.5682373046875,0.43779296875,0.7005859375,0.805571084419632,8.977952092991604,3.984965872898149,10.282090344051866,6.5102840689435215,10.537256403835054,True,,0.0,20,0.2,64,512,-0.00028986922407057134,0.0006701518723275512,0.0015444161312188952,0.009524204628542065,0.010481384582817554,0.01154796853661537,0.5248850733041763,0.5667657554149628,0.6236160606145859,5.470325684547424,9.028491020202637,11.700947284698486,6.329253027882373,8
ATO,Atmos Energy,Utilities,2026-09-06,2026-09-04,2025-08-29,0.538299560546875,0.4171875,0.64111328125,0.4257392728624911,8.52466866645177,4.3348120024044645,9.001691501089047,6.885834433564768,10.027990980486063,True,,0.0,20,0.2,64,512,-0.0003467098213150166,0.000457400587038137,0.0012364599446300416,0.009248988423496484,0.010104096494615078,0.011282816529273987,0.5229598343372345,0.5478410422801971,0.5988976031541824,4.706813406944275,8.381467342376709,11.575931930541993,6.314609770879597,9
ETR,Entergy,Utilities,2026-09-06,2026-09-04,2025-08-29,0.63800048828125,0.45419921875,0.78095703125,2.119902391727979,10.158254845157181,3.9061676554207754,11.78631575045169,6.424004735235439,11.74774581776337,True,,0.0,20,0.2,64,512,-0.00010012260281655472,0.0010843694908544421,0.00217155764112249,0.011707565234974026,0.013146608602255583,0.016021589003503322,0.5233582437038422,0.5493463575839996,0.6028783798217774,3.0344578981399537,5.5787622928619385,10.2585618019104,6.280611168023695,10
AEE,Ameren,Utilities,2026-09-06,2026-09-04,2025-08-29,0.575653076171875,0.40771484375,0.72822265625,0.9083676252657271,9.40743681988434,3.6919575995429113,10.522632497013308,6.726886898022134,11.072985977189692,True,,0.0,20,0.2,64,512,-0.0004592780605889857,0.0005816965422127396,0.0015414158639032393,0.010098561039194464,0.011195758823305368,0.012439374439418316,0.5507795363664627,0.6109017729759216,0.6704265266656876,5.087381672859192,8.747035503387451,11.651640605926513,6.119127741098689,11
LNT,Alliant Energy,Utilities,2026-09-06,2026-09-04,2025-08-29,0.5589599609375,0.4099609375,0.71650390625,0.7167288966559495,9.145721743631661,3.721130165137973,11.647141542047962,6.089245087938759,11.121224763301543,True,,0.0,20,0.2,64,512,-0.0003779585735173896,0.000484063129988499,0.0014382782450411465,0.009612551284953951,0.01052844524383545,0.0119703549426049,0.5382062256336212,0.6008049249649048,0.6553898751735687,4.335365653038025,7.99002742767334,11.455785131454467,6.111709678098554,12
FRT,Federal Realty Investment Trust,Real Estate,2026-09-06,2026-09-04,2025-08-29,0.548553466796875,0.392578125,0.7162109375,0.5816123345326332,9.154506158097805,3.6404877937116353,10.520735072201203,6.506781730795301,10.611651335558529,True,,0.0,20,0.2,64,512,-0.00033216985320905223,0.00063570641214028,0.0015569656388834119,0.00973349018022418,0.010756821371614933,0.011912921257317065,0.5239623308181762,0.5533024072647095,0.6051894426345825,4.8266921043396,8.213418006896973,11.502026510238647,5.992168854587977,13
REG,Regency Centers,Real Estate,2026-09-06,2026-09-04,2025-08-29,0.521942138671875,0.39287109375,0.6811523437499998,0.24926674938237098,9.061931299204302,3.7734009732669316,10.17925854004243,7.003770553452174,10.598453855703948,True,,0.001953125,20,0.2,64,512,-0.0006314263300737366,0.00025097333127632737,0.0011807738163042813,0.009330628020688892,0.010450778529047966,0.0117401460185647,0.5245784759521485,0.5527755916118622,0.6051069051027298,4.440698623657227,8.32335901260376,11.495338487625121,5.759722971169568,14
NI,NiSource,Utilities,2026-09-06,2026-09-04,2025-08-29,0.575103759765625,0.4078125,0.7567382812499996,1.025126350425998,9.99472363332668,3.5274207257756935,10.695752699166748,7.214832876733116,12.025125919224504,True,,0.0,20,0.2,64,512,-0.0005027248000260443,0.0006716495845466852,0.001815338630694896,0.010997237637639046,0.01211025333032012,0.01353559005074203,0.5250729590654373,0.5534043908119202,0.6112194210290909,4.986415314674377,8.87980318069458,11.79222388267517,5.75407365790469,15
DUK,Duke Energy,Utilities,2026-09-06,2026-09-04,2025-08-29,0.526519775390625,0.37421875,0.66064453125,0.3206869119619206,9.169460097331658,3.766663137943051,9.25165906501684,6.98170433706619,10.333920344069348,True,,0.0,20,0.2,64,512,-0.0007212561933556572,0.0002615230332594365,0.0011730887868907302,0.00942534115165472,0.010451180394738913,0.011550925392657518,0.5262590020895004,0.5693866610527039,0.6186808317899704,5.417451119422912,9.076718807220459,11.716014051437378,5.7421022590397,16
BAC,Bank of America,Financials,2026-09-06,2026-09-04,2025-08-29,0.629364013671875,0.49453125,0.7440429687499999,2.0755196197830506,10.977829202811096,3.462420230339271,9.119547028061424,7.726073695376033,13.886594093603327,True,,0.0,20,0.2,64,512,0.00020996782695874573,0.001299662224482745,0.002479984308592975,0.012670418573543429,0.013743660412728786,0.015611365670338273,0.5282131612300873,0.5638863742351532,0.6212094604969025,4.161918020248413,7.773445129394531,11.581360387802125,5.733046142772139,17
DTE,DTE Energy,Utilities,2026-09-06,2026-09-04,2025-08-29,0.530670166015625,0.37763671875,0.681640625,0.386691386598559,9.575113250500047,3.336309095095489,9.41620589096715,7.205359227183962,10.982864231505097,True,,0.0,20,0.2,64,512,-0.0006376873207045719,0.0003706523566506803,0.0013682633580174295,0.009977175341919064,0.010998903773725033,0.012357331020757556,0.5305328756570816,0.5789545178413391,0.6373216658830643,5.021505212783813,8.883956909179688,11.626007986068725,5.542181613234825,18
GL,Globe Life,Financials,2026-09-06,2026-09-04,2025-08-29,0.610198974609375,0.4677734375,0.748828125,1.667316218742465,11.069145248631498,3.7901693556014977,10.523404078740295,7.2694479063673585,13.972043420238192,True,,0.001953125,20,0.2,64,512,6.446895918088558e-06,0.0010222731507383287,0.002038435288704932,0.011738840956240892,0.013154175598174334,0.01640995405614376,0.5230161428451539,0.5459406971931458,0.5985044181346894,2.856074500083923,4.901817083358765,9.348422336578368,5.512611506157761,19
WEC,WEC Energy Group,Utilities,2026-09-06,2026-09-04,2025-08-29,0.5130615234375,0.3369140625,0.65703125,0.14243295160963915,9.317905487442255,3.0367221903977026,8.763916028795299,7.214935044791368,11.061057223268957,True,,0.0,20,0.2,64,512,-0.0008123444160446525,0.0002699285396374762,0.0012642439862247555,0.009670096170157193,0.010652190074324608,0.011684034811332821,0.5338271409273148,0.5807127058506012,0.6394827544689179,6.134822416305542,9.808645725250244,11.850383472442626,5.5061893912634465,20
